VehModelID,Model,VehTypeID
1,Pass Pro,102
2,Spl +,102
3,Yamaha R15,102
4,activa 4G,101
5,pleasure,101
6,jupiter,101
7,access 125,101
8,vespa,101
9,TVS XL100,103
10,ktm,102
11,royal enfield,102
12,fascino,101
13,ct100,102
14,pulsor,102
15,ather 450,104
16,pureev pluto,104
17,hero optima plus,104
18,tvs icube,104
19,ola s1 pro,104
20,bajaj chetak,104
21,avenger,102
22,Pass plus,102
23,Motovolt Urbn e-Bike ,104
24,maestro,101
25,xtreme,102
26,CB Unicorn 150,102
27,XGT CAT 2.0,104
28,Splendor iSmart,102
29,Apache RTR 200 4V,102
30,Suzuki Gixer 155,102
31,Avenger Cruise 220,102
32,ampere nexus,104
33,Destini,101
34,Yakuza,104
35,pulse,102
36,xoom,101
37,Glamour,102
38,hero hf,102
39,Kinetic Green E-Luna ,104
